multiple, bitcoin price, 200 days moving average, created at
0.738753740094998,7006.3388,9483.997738, 2018-04-07 21:00:01.847302 UTC
0.7376538558174844,6995.9075,9483.997738, 2018-04-07 21:10:01.944251 UTC
0.7366881554606293,6986.7488,9483.997738, 2018-04-07 21:20:01.614469 UTC
0.7363442814857407,6983.4875,9483.997738, 2018-04-07 21:30:02.546096 UTC
0.7358697980322104,6978.9875,9483.997738, 2018-04-07 21:40:01.733768 UTC
0.7356736782047512,6977.1275,9483.997738, 2018-04-07 21:50:01.391031 UTC
0.7353358776180677,6973.9238,9483.997738, 2018-04-07 22:00:01.316775 UTC
0.7356900215237061,6977.2825,9483.997738, 2018-04-07 22:10:01.193907 UTC
0.7355072188651759,6975.5488,9483.997738, 2018-04-07 22:20:01.335648 UTC
0.7356266305343144,6976.6813,9483.997738, 2018-04-07 22:30:00.970689 UTC
0.7340038971232408,6961.2913,9483.997738, 2018-04-07 22:40:01.875459 UTC
0.7323675829413193,6945.7725,9483.997738, 2018-04-07 22:50:01.260889 UTC
0.730283946847563,6926.0113,9483.997738, 2018-04-07 23:00:01.920068 UTC
0.729449383173187,6918.0963,9483.997738, 2018-04-07 23:10:01.313469 UTC
0.7255239499299003,6880.8675,9483.997738, 2018-04-07 23:20:01.765382 UTC
0.725024561367098,6876.1313,9483.997738, 2018-04-07 23:30:01.733548 UTC
0.7247609594484701,6873.6313,9483.997738, 2018-04-07 23:40:01.560896 UTC
0.7260677606880298,6886.025,9483.997738, 2018-04-07 23:50:02.309043 UTC
0.7285364483629881,6895.2425,9464.512744000001, 2018-04-08 00:00:01.560661 UTC
0.731452076535975,6922.8375,9464.512744000001, 2018-04-08 00:10:01.669019 UTC
0.7289062599997018,6923.8763,9498.9941505, 2018-04-08 00:20:01.754844 UTC
0.7329323389080656,6962.12,9498.9941505, 2018-04-08 00:30:01.470916 UTC
0.7323066200260631,6956.1763,9498.9941505, 2018-04-08 00:40:01.940672 UTC
0.7337865135576598,6970.2338,9498.9941505, 2018-04-08 00:50:01.480347 UTC
0.7332872501698883,6965.4913,9498.9941505, 2018-04-08 01:00:01.614653 UTC
0.7332594788084347,6965.2275,9498.9941505, 2018-04-08 01:10:01.873820 UTC
0.7286845207327196,6921.77,9498.9941505, 2018-04-08 01:20:01.848764 UTC
0.7298034602574314,6932.3988,9498.9941505, 2018-04-08 01:30:01.737239 UTC
0.7303629931843698,6937.7138,9498.9941505, 2018-04-08 01:40:02.069393 UTC
0.7303529921254687,6937.6188,9498.9941505, 2018-04-08 01:50:01.418339 UTC
0.7313519084159372,6947.1075,9498.9941505, 2018-04-08 02:00:01.091522 UTC
0.7293985437011034,6928.5525,9498.9941505, 2018-04-08 02:10:02.290242 UTC
